Food Code,Food Name (minerals indian.csv),Food Category,Energy,Carbs,Fat,Protein,Fat value,Alpha Lino-lenic,Arachidic,Arginine,Behenic,Calcium,Carotene(µg),Chlorine,Choline-(mg),Chromium,Copper,Cystine,Folicacid(mg),Folicfree(mg),Histidine,IDF(g),Iron,Isole-ucine,Leucine,Ligno-ceric,Linoleic,Lysine,Magn-esium,Mang-anese,Methi-onine,Molyb-denum,Niacin(mg),Number of Records,Oleic,Palmi-toleic,Palmitic,Phenyl-alanine,Phosp-horus,Potassium,Riboflavin(mg),SDF(g),Sodium,Stearic,Sulphur,TDF(g),Thiamine(mg),Thre-onine,Total Mono Unsa-turates,Total N,Total Poly Unsaturates,Total Satur-ates,Trypt-ophan,Tyrosine,Valine,Vitamin-C(mg),Zinc
44,"RED GRAM, dhal",,335,57.6,,22.3,1.7,,,360,,73,132,5,183,0,1.2,60,103,19,250,,2.7,250,450,,,480,88,0.8,60,0.3,2.9,1,,,,460,304,1104,0.2,,0,,177,,0.5,200,,3.57,,,40,130,260,0,2
,"RED GRAM, tender",,,16.9,,,,,,,,57,,22,,0,0.4,,,,,,1.1,,,,,,58,0,,0,,1,,,,,164,463,,,28.5,,494,,,,,,,,,,,,0
46,SOYABEAN,pulses_and_legumes,432,20.9,20,43.2,19.5,1.4,0,450,0,240,426,0,0,0,1.3,100,100,8.7,150,17.9,10.4,320,480,0,10.4,400,206.5,2.2,80,0,3.2,1,5.4,0,1.4,300,690,0,0.4,5.1,0,0.8,0,23,0.7,240,5.4,6.91,11.8,2.2,80,210,320,0,3.9
47,AGATHI,leafy_vegetables,93,11.8,,8.4,1.4,,,360,,1130,5400,0,0,0,0,90,0,0,120,6.3,3.9,390,560,,,250,0,0,90,0,1.2,1,,,,380,80,0,0.1,2.1,0,,0,8.4,0.2,300,,1.34,,,100,0,430,169,0
,AMARANTH caudatus,,,2,,,,,,,,200,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,40,0,,,0,,0,,,,,,,,,,,,0
49,"AMARANTH, tender gangeticus",,45,6.1,,4,0.5,,,240,,397,5520,88,31,0,0.1,40,149,41,130,,3.49,290,370,,,250,122,0.4,70,0.1,1.2,1,,,,180,83,341,0.3,,230,,61,,0,140,,0.64,,,70,190,280,99,0.2
,"AMARANTH, stem gangeticus",,,3.5,,,,,,,,260,,0,,0,0,,,,,,1.8,,,,,,0,0.4,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0
,"AMARANTH, paniculatus",,,8.6,,,,,,,,530,,0,,0,0,,,,,,18.4,,,,,,0,0,,0,,1,,,,,60,0,,,0,,0,,,,,,,,,,,,0
,"AMARANTH, polygonoides",,,4.8,,,,,,,,251,,0,,0,0,,,,,,27.3,,,,,,0,0,,0,,1,,,,,55,0,,,0,,0,,,,,,,,,,,,0
,"AMARANTH, spinosus",,,7,,,,,,,,800,,0,,0,0,,,,,,22.9,,,,,,0,0,,0,,1,,,,,50,0,,,0,,0,,,,,,,,,,,,0
,AMARANTH species (Chakravarthikeerai),,,8.5,,,,,,,,321,,0,,0,0,,,,,,18,,,,,,0,0,,0,,1,,,,,71,0,,,0,,0,,,,,,,,,,,,0
,AMARANTH species (koyakeerai),,,5.3,,,,,,,,292,,0,,0,0,,,,,,2.5,,,,,,0,0,,0,,1,,,,,51,0,,,0,,0,,,,,,,,,,,,0
,AMARANTH tristis,,,7.4,,,,,,,,364,,0,,0,0,,,,,,38.5,,,,,,0,0,,0,,1,,,,,52,0,,,0,,0,,,,,,,,,,,,0
,"AMARANTH, viridis",,,3.8,,,,,,,,330,,0,,0,0,,,,,,18.7,,,,,,0,0,,0,,1,,,,,52,0,,,0,,0,,,,,,,,,,,,0
,AMBAT CHUKA,,,1.4,,,,,,,,63,,0,,0,0,,,,,,0.75,,,,,,123,0,,0,,1,,,,,17,0,,,0,,0,,,,,,,,,,,,0.3
59,BATHUA LEAVES,,30,2.9,,3.7,0.4,,,0,,150,1740,0,0,0,0,0,0,0,0,,4.2,440,410,,,750,0,0,50,0,0.6,1,,,,110,80,0,0.1,,0,,0,,0,170,,0.59,,,20,0,290,35,0
