Food Name,Magn-esium,Sodium,Potassium,Copper,Mang-anese,Molyb-denum,Zinc,Chromium,Sulphur,Chlorine,Calcium,Phosp-horus,Iron,Carbs
RADISH rat-tailed,0,0,0,0,0,0,0,0,0,0,78,24,0,4.3
"RADHISH, table",0,0,0,0,0,0,0,0,0,0,20,20,1,3.2
"RADISH, white",0,33,138,0.4,0,0,0,0,0,0,35,22,0.4,3.4
SWEET POTATO,27,9,393,0,0.2,0,0.1,0,0,0,46,50,0.21,28.2
TAPIOCA,0,0,0,0,0,0,0,0,0,0,50,40,0.9,38.1
"TAPIOCA, chips, dried",66,7.5,764,0.2,0,0,0,0,58,10,91,70,3.6,82.6
TURNIP,0,0,0,0,0,0,0,0,0,0,30,40,0.4,6.2
"YAM, elephant",0,0,0,0,0,0,0,0,0,0,50,34,0.6,18.4
"YAM, ordinary",17,9,237,0.1,0.1,0,0.5,0,0,0,35,20,1.19,26
"YAM, wild",34,11,450,0.2,0,0,0,0,35,29,20,74,1,24.4
ASH GUARD,0,0,0,0,0,0,0,0,0,0,30,20,0.8,1.9
"BEANS, scarlet runner",0,0,0,0,0,0,0,0,0,0,50,160,2.6,29.8
BITTER GOURD,36,17.8,152,0.1,0.1,0,0.5,0,15,8,20,70,0.61,4.2
"BITTER GOURD, small",33,2.4,171,0.1,0.1,0,0.4,0,21,8,23,38,2,10.6
BOTTLE GOURD,26,1.8,87,0,0.1,0,0.2,0,10,5,23,10,0.46,2.5
BRINJAL,15,3,200,0.1,0.1,0,0.2,0,44,52,18,47,0.38,4
BROAD BEANS,33,43.5,39,0.2,0,0,0,0,53,43,50,64,1.4,7.2
CAULIFLOWER,18,53,138,0.1,0.1,0,0.4,0,231,34,33,57,1.23,4
CHO-CHO-MARROW,0,0,0,0,0,0,0,0,0,0,140,30,0.6,5.7
CLUSTER BEANS,47,0,0,0.1,0.1,0,0.4,0,0,0,130,57,1.08,10.8
COLOCASIA STEM,0,0,0,0,0,0,0,0,0,0,60,20,0.5,3.6
COW PEA PODS,0,0,0,0,0,0,0,0,0,0,72,59,2.5,8.1
CUCUMBER,14,10.2,50,0.1,0.1,0.1,0.2,0,17,15,10,25,0.6,2.5
DOUBLE BEANS,0,0,0,0,0,0,0,0,0,0,40,140,2.3,12.3
DRUM STICK,28,0,259,0,0.1,0,0.2,0,137,423,30,110,0.18,3.7
DRUMSTICK flowers,0,0,0,0,0,0,0,0,0,0,51,90,0,7.1
"FIELD BEANS, tender",17,55.4,74,0.1,0.1,0,0.4,0,40,31,210,68,0.83,6.7
"FIGS, red (Ficus cunia)",0,0,0,0,0,0,0,0,0,0,187,39,0,10.8
FRENCH BEANS,38,4.3,120,0.1,0.1,0,0.4,0,37,10,50,28,0.61,4.5
GHOSALA,0,0,0,0,0,0,0,0,0,0,36,19,1.1,2.9
GIANT CHILLIES (capsicum),12,0,0,0.1,0.1,0,0.1,0,0,0,10,30,0.567,4.3
"JACK, tender",0,35,328,0,0,0,0,0,0,0,30,40,1.7,9.4
"JACK, fruit seed",54,63.2,246,0.2,0,0,0,0,356,14,50,97,1.5,25.8
KANKODA,0,0,0,0,0,0,0,0,0,0,33,42,4.6,7.7
KARONDA fresh,0,0,0,0,0,0,0,0,0,0,21,28,0,2.9
KARONDA dry,0,0,0,0,0,0,0,0,0,0,160,60,39.1,67.1
KHEKSA,0,0,0,0,0,0,0,0,0,0,27,38,0,6.4
KOVAI,36,0,0,0.1,0.2,0,0.3,0,0,0,40,30,0.38,3.1
KNOL-KHOL,33,112,37,0.1,0.1,0,0.2,0,143,67,20,35,1.54,3.8
