Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg),Energy,Fat value,Protein
"MELON, sweeter",0,0,0,0.1,0,0,1,0,16,0.2,0.2
MULBERRY,57,0,0.1,0.5,0,0,12,0,49,0.4,1.1
ORANGE,1104,0,0,0,0,0,30,0,48,0.2,0.7
ORANGE JUICE,15,0.1,0,0.4,0,0,64,0,9,0.1,0.2
PALMYRA FRUIT ripe (mesocarp),0,0,0,0,0,0,0,0,87,0.2,0.7
"PALMYRA FRUIT, tender",0,0,0,0.2,0,0,4,0,29,0.1,0.6
"PAPAYA, ripe",66,0,0.3,0.2,0,0,57,0,32,0.1,0.6
PASSION FRUIT,54,0.1,0.1,1.6,0,0,25,0,54,0.1,0.9
PASSION FRUIT JUICE,1968,0,0,0,0,0,13,0,37,0.2,1.2
PEACHES,0,0,0,0.5,0,0,6,0,50,0.3,1.2
PEARS,28,0.1,0,0.2,0,0,0,0,52,0.2,0.6
PERSIMMON,2268,0,0,0,0,0,33,0,76,0.2,0.7
PHALSA,419,0,0,0.3,0,0,22,0,72,0.9,1.3
PINE APPLE,18,0.2,0.1,0.1,0,0,39,8,46,0.1,0.4
PLUM,166,0,0.1,0.3,0,0,5,0,52,0.5,0.7
POMEGRANATE,0,0.1,0.1,0.3,0,0,16,0,65,0.1,1.6
PRUNES,0,0,0,0,0,0,0,0,56,0.3,0.5
PUMMELO,120,0,0,0.2,0,0,20,0,44,0.1,0.6
QUINCE,0,0,0,0.2,0,0,11,0,50,0.1,0.3
RAISINS,2,0.1,0.2,0.7,0,0,1,0,308,0.3,1.8
RASPBERRY,2248,0,0,0.8,0,0,30,0,56,0.6,1
ROSE APPLE,141,0,0.1,0.4,0,0,3,0,39,0.2,0.7
SAPOTA,97,0,0,0.2,0,0,6,0,98,1.1,0.7
SEETHAPHAL,0,0.1,0.2,1.3,0,0,37,0,104,0.4,1.6
STRAWBERRY,18,0,0,0.2,0,0,52,0,44,0.2,0.7
TOMATO RIPE,351,0.1,0.1,0.4,30,14,27,0,20,0.2,0.9
TOMATILO,48,0.1,0,2.1,0,0,2,0,31,0.6,0.7
TREE TOMATO,324,0.1,0.1,2.1,0,0,0,0,35,0.2,1.5
WOOD APPLE,61,0,0.2,0.8,0,0,3,0,134,3.7,7.1
ZIZYPHUS,21,0,0.1,0.7,0,0,76,0,74,0.3,0.8
AIR,0,0,0,0.5,0,0,11,0,89,1.3,15.9
ANCHOVY,0,0,0,0,0,0,0,0,164,9.6,19.3
BACHA,0,0,0,0.6,0,0,13,0,147,5.6,18.1
BAM,0,0,0,0.9,0,0,3,438,100,0.9,16.1
BASPATA MACHLI,0,0,0,0,0,0,0,388,112,4.4,18.2
"BATA, small varieties",0,0,0,0,0,0,0,0,89,2.5,14.3
BELEY,0,0,0,0.3,0,0,3,0,75,0.6,14.5
"BHANGER, fresh",0,0,0,1.8,0,0,12,0,154,8.8,14.8
BHAGON dried,0,0,0,0,0,0,0,0,274,2.3,61.5
BHANGAN BATA,0,0,0,0.6,0,0,0,0,144,4.4,19.4
BHEKTI fresh,0,0,0,0.7,0,0,10,349,79,0.8,14.9
BHEKTI dried,0,0,0,0,0,0,0,0,266,2,60.2
BHOLA,0,0,0,0.5,0,0,14,0,86,1.1,15.2
BIG JAWED JUMPER,0,0,0,0,0,0,0,0,130,5.8,19.4
BOAL,0,0,0,1,0,0,8,108,116,2.7,15.4
"BOMBAY DUCK, dried",0,0,0,0,0,0,0,0,293,4,61.7
BLUE MUSSEL,0,0,0,0,0,0,0,0,72,2,9.9
CAT FISH,0,0,0,2.5,0,0,0,0,86,0,21.4
CHELA,0,0,0,0,0,0,0,0,103,4.3,14.6
CHELA dried,0,0,0,0,0,0,0,0,413,17,64.8
CHINGRI small dried,0,0,0,0,0,0,0,0,292,3.9,62.4
"CHINGRI goda, dried",0,0,0,0,0,0,0,0,287,3.2,60
CHITAL,0,0,0,0,0,0,0,943,108,2.3,18.6
CRAB muscle,780,0,0,3.1,0,0,0,0,59,1.1,8.9
CRAB small,0,0,0,0,0,0,0,0,169,9.8,11.2
FOLUI,0,0,0,0.8,0,0,6,1018,109,1,19
GHOL,0,0,0,0,0,0,0,0,82,0.9,18.4
GOGGLER,0,0,0,0,0,0,0,0,93,1.6,18.7
"HERRING, Indian",0,0,0,0,0,0,0,0,119,3.2,20.3
HERRING ox-eyed,0,0,0,0,0,0,0,0,106,2.2,20.7
HILSA,0,0,0,2.8,0,0,24,1364,273,19.4,21.8
HORSE MACKEREL,0,0,0,2.9,0,0,0,0,99,1.6,21.2
INDIAN WHITING,0,0,0,0,0,0,0,0,89,0.6,19.2
JEW FISH (kora),0,0,0,0,0,0,0,0,83,0.8,18.8
JEW FISH (pallikora),0,0,0,0,0,0,0,0,100,2.2,20
KALABASU,0,0,0,0.6,0,0,11,716,76,1,14.7
KATLA,0,0,0,0.8,0,0,0,611,111,2.4,19.5
